gamma,angle_rew_weight,final_mean_return
0.001997127334530273,5.757575757575758,"[346.234375, 321.3828125, 298.046875, 884.359375, 775.984375, 730.4921875, 337.453125, 1000.0, 298.5546875, 817.828125]"
0.0023285910855096064,3.131313131313131,"[255.1015625, 258.8359375, 298.2578125, 395.578125, 430.3359375, 613.6484375, 281.5703125, 284.7578125, 253.359375, 308.921875]"
0.0010007189409390025,6.262626262626262,"[873.953125, 336.640625, 939.0703125, 882.5859375, 975.4296875, 973.34375, 631.3828125, 994.921875, 899.0078125, 977.6640625]"
0.00012590158918273834,5.858585858585858,"[839.4296875, 849.90625, 837.703125, 776.7734375, 841.984375, 758.171875, 762.6796875, 947.46875, 808.078125, 975.1015625]"
0.014700866253334402,4.94949494949495,"[852.703125, 929.5234375, 749.8671875, 877.9375, 896.8828125, 857.671875, 714.2421875, 753.125, 787.5390625, 956.515625]"
0.0006817002185769346,7.171717171717171,"[971.765625, 388.1484375, 940.53125, 994.1875, 962.484375, 975.9375, 934.1953125, 983.171875, 952.015625, 748.421875]"
0.0005014394332495677,3.7373737373737375,"[515.2265625, 531.8046875, 465.0703125, 915.1953125, 539.5234375, 749.6640625, 468.3125, 460.609375, 268.9765625, 267.0234375]"
0.004647151880078404,6.262626262626262,"[916.8828125, 362.3125, 447.671875, 691.5859375, 782.25, 783.3203125, 295.6484375, 787.828125, 328.6640625, 437.0859375]"
0.009274286383257363,7.979797979797979,"[989.8359375, 993.8984375, 701.09375, 956.9921875, 928.2421875, 919.4453125, 794.984375, 985.828125, 881.8125, 953.65625]"
0.013614421404752578,4.040404040404041,"[671.421875, 803.953125, 808.2421875, 925.15625, 777.1875, 936.03125, 600.9375, 769.234375, 671.75, 845.1875]"
0.00039827887519494257,5.555555555555555,"[552.1953125, 500.9296875, 849.5078125, 916.1015625, 775.5546875, 773.78125, 700.421875, 881.09375, 861.28125, 913.3984375]"
0.14711435307922738,1.0101010101010102,"[995.9296875, 1000.0, 983.34375, 984.6796875, 813.328125, 1000.0, 970.40625, 993.578125, 979.25, 989.2265625]"
0.00017116153053391744,4.646464646464646,"[928.4375, 639.203125, 707.7734375, 900.03125, 717.09375, 699.734375, 817.359375, 532.4375, 805.3046875, 847.21875]"
0.0001848203969370861,8.080808080808081,"[735.921875, 994.1953125, 953.4765625, 1000.0, 918.5078125, 953.328125, 987.6484375, 982.859375, 954.0390625, 974.7265625]"
0.000794842183831788,0.20202020202020202,"[225.65625, 235.390625, 218.4921875, 211.1328125, 255.5234375, 356.4921875, 210.7578125, 238.5625, 220.1015625, 275.3359375]"
0.013614421404752578,0.5050505050505051,"[251.0859375, 311.09375, 264.96875, 241.9453125, 266.203125, 252.828125, 235.8671875, 239.046875, 249.1484375, 243.8515625]"
0.0023285910855096064,5.858585858585858,"[499.9453125, 359.78125, 325.34375, 804.90625, 972.1484375, 853.703125, 543.40625, 959.0625, 546.8671875, 610.8515625]"
0.010014383987540799,9.696969696969697,"[960.296875, 997.2578125, 988.6953125, 981.1875, 985.65625, 885.1640625, 972.4140625, 1000.0, 981.765625, 989.9140625]"
0.008588884551030166,8.787878787878787,"[905.40625, 972.2265625, 656.3359375, 994.3359375, 924.9375, 923.6484375, 981.8125, 973.2578125, 586.265625, 912.828125]"
0.0029317331822241717,7.6767676767676765,"[369.3203125, 556.7265625, 393.9453125, 1000.0, 988.0078125, 976.1953125, 489.6640625, 968.09375, 949.0859375, 919.28125]"
0.0001848203969370861,9.797979797979798,"[989.1171875, 995.1328125, 940.0234375, 1000.0, 868.2265625, 956.1015625, 993.8203125, 989.8046875, 898.7578125, 993.953125]"
0.043068054015145296,3.7373737373737375,"[996.6484375, 983.1015625, 849.140625, 897.3203125, 916.375, 962.2421875, 902.515625, 981.53125, 927.6328125, 978.2578125]"
0.0008582714086505614,0.7070707070707071,"[250.296875, 240.046875, 247.515625, 231.0, 251.78125, 370.6328125, 246.6875, 254.7265625, 238.2578125, 254.6796875]"
0.003418313712493245,3.3333333333333335,"[289.3359375, 293.3125, 248.6953125, 462.328125, 475.6796875, 779.6484375, 263.203125, 260.6171875, 252.4765625, 313.421875]"
0.004303711287280452,0.20202020202020202,"[209.59375, 213.7734375, 205.5546875, 241.9140625, 307.5546875, 219.6171875, 235.0234375, 217.828125, 230.515625, 220.640625]"
0.2,4.040404040404041,"[1000.0, 1000.0, 1000.0, 1000.0, 849.4296875, 959.71875, 885.375, 1000.0, 987.734375, 1000.0]"
0.005850838068754207,6.767676767676767,"[568.9921875, 390.0703125, 328.0390625, 817.234375, 824.59375, 948.40625, 655.96875, 930.21875, 462.8828125, 775.3125]"
0.07371594042349698,1.3131313131313131,"[996.109375, 1000.0, 913.1953125, 925.125, 741.3125, 973.046875, 849.6796875, 949.53125, 930.2890625, 972.84375]"
0.18521930844265186,2.4242424242424243,"[1000.0, 1000.0, 990.84375, 1000.0, 937.859375, 988.9921875, 920.7734375, 993.9453125, 994.2421875, 998.9375]"
9.999999999999999e-05,1.4141414141414141,"[610.6640625, 752.53125, 726.015625, 466.34375, 263.203125, 363.1328125, 771.53125, 335.1796875, 349.0, 344.890625]"
0.2,0.5050505050505051,"[962.0546875, 985.96875, 953.3046875, 959.0859375, 914.046875, 975.0390625, 977.46875, 979.40625, 989.21875, 967.4296875]"
0.000464381325261801,7.070707070707071,"[900.1640625, 881.7578125, 910.0234375, 963.7578125, 994.0546875, 949.7421875, 989.9453125, 954.6640625, 625.25, 906.5703125]"
0.05855044475769315,8.585858585858587,"[1000.0, 1000.0, 952.25, 986.609375, 991.015625, 943.8984375, 990.203125, 976.953125, 974.2890625, 982.765625]"
0.0005846634683724685,6.4646464646464645,"[946.78125, 789.6953125, 890.796875, 880.34375, 993.8515625, 901.7890625, 993.8203125, 982.4296875, 982.21875, 962.3671875]"
0.00034158579123982024,8.686868686868687,"[937.1640625, 1000.0, 1000.0, 926.6328125, 986.828125, 955.5078125, 869.328125, 1000.0, 921.3203125, 979.0546875]"
0.0011668085277693407,6.666666666666667,"[371.8515625, 938.6640625, 301.703125, 988.71875, 651.515625, 906.4765625, 630.0078125, 950.390625, 514.0546875, 881.0546875]"
0.007366298109070191,9.292929292929292,"[896.375, 987.1171875, 856.5546875, 994.6875, 925.2421875, 989.46875, 993.8671875, 966.9921875, 885.1015625, 962.2578125]"
0.00023269181687763618,5.151515151515151,"[981.921875, 640.640625, 787.7890625, 774.15625, 772.84375, 871.359375, 928.7734375, 986.859375, 911.2578125, 823.921875]"
0.0199856315113147,7.474747474747475,"[995.03125, 982.875, 948.125, 880.8203125, 944.890625, 946.1640625, 983.3671875, 980.3671875, 920.6484375, 904.2578125]"
0.07959854838387018,0.6060606060606061,"[996.3828125, 1000.0, 949.2734375, 956.9453125, 844.7265625, 713.859375, 905.84375, 1000.0, 964.7265625, 987.9765625]"
0.017140772906618387,8.686868686868687,"[994.265625, 992.265625, 932.96875, 1000.0, 843.8828125, 910.8359375, 910.0234375, 978.1171875, 977.953125, 981.8671875]"
0.006317740971984859,6.8686868686868685,"[431.828125, 363.71875, 418.484375, 680.8515625, 837.578125, 858.46875, 402.2421875, 916.875, 394.8046875, 867.515625]"
0.015874010519682,5.656565656565657,"[998.65625, 996.3984375, 873.734375, 989.328125, 827.3671875, 887.1640625, 869.765625, 974.703125, 866.4296875, 968.7578125]"
0.03693752348959514,2.525252525252525,"[993.234375, 912.3125, 910.6015625, 939.4296875, 909.9609375, 908.59375, 838.515625, 933.328125, 892.3515625, 952.2578125]"
0.029338409252311078,0.7070707070707071,"[902.6328125, 642.7578125, 693.75, 524.5703125, 553.3984375, 573.984375, 507.2578125, 754.7109375, 533.484375, 709.5859375]"
0.000464381325261801,8.787878787878787,"[982.359375, 1000.0, 608.8203125, 985.2734375, 955.3984375, 982.4140625, 931.625, 969.140625, 938.546875, 982.984375]"
0.011676473941879328,8.484848484848484,"[994.265625, 1000.0, 912.15625, 995.84375, 778.0546875, 923.921875, 956.25, 877.8125, 975.2890625, 949.6328125]"
0.0025144150521764766,1.1111111111111112,"[256.609375, 226.453125, 254.96875, 243.46875, 255.828125, 333.0078125, 246.8125, 243.53125, 249.71875, 266.1484375]"
0.04650492907814755,2.525252525252525,"[996.2734375, 994.515625, 957.2578125, 879.734375, 811.8828125, 896.65625, 908.3984375, 978.609375, 954.359375, 985.8125]"
0.029338409252311078,6.96969696969697,"[996.40625, 993.453125, 925.6875, 988.890625, 905.84375, 939.7421875, 894.609375, 964.5859375, 930.046875, 979.640625]"
0.0005414548164181544,2.6262626262626263,"[234.515625, 275.4453125, 257.390625, 335.9921875, 282.0546875, 692.9296875, 516.890625, 256.5546875, 240.3359375, 268.1015625]"
0.000794842183831788,8.383838383838384,"[623.0390625, 984.84375, 756.953125, 988.3359375, 881.390625, 994.375, 993.84375, 1000.0, 898.7265625, 884.3515625]"
0.0003163414201363777,4.444444444444445,"[402.9453125, 901.9765625, 505.40625, 892.3828125, 798.171875, 822.9609375, 771.140625, 873.0, 671.0546875, 794.8828125]"
0.00501799938586561,4.94949494949495,"[305.484375, 293.890625, 338.28125, 339.8203125, 752.0078125, 742.40625, 286.046875, 748.8984375, 292.3203125, 547.703125]"
0.02516222768095133,7.171717171717171,"[995.7734375, 970.6796875, 916.984375, 889.328125, 872.0625, 970.4609375, 902.4921875, 1000.0, 903.28125, 933.03125]"
0.00023269181687763618,8.88888888888889,"[930.890625, 919.3515625, 616.984375, 983.046875, 1000.0, 976.484375, 994.6640625, 987.9453125, 957.9609375, 993.7265625]"
0.0003163414201363777,0.9090909090909091,"[227.7890625, 240.1328125, 250.515625, 252.4296875, 252.7890625, 297.6328125, 574.9296875, 221.7421875, 400.078125, 372.25]"
0.09280954047418331,8.98989898989899,"[1000.0, 998.953125, 1000.0, 983.3828125, 899.765625, 927.1328125, 934.515625, 998.9609375, 993.703125, 997.984375]"
0.0010007189409390025,2.6262626262626263,"[262.8125, 256.65625, 256.734375, 264.4609375, 243.9140625, 351.1953125, 270.2734375, 271.78125, 300.3125, 280.21875]"
0.0004300619395933647,2.8282828282828283,"[256.7578125, 574.1484375, 260.703125, 311.1640625, 554.1953125, 639.78125, 809.25, 252.1171875, 443.046875, 269.4765625]"
0.15885422995710774,1.4141414141414141,"[1000.0, 999.046875, 1000.0, 947.84375, 901.1171875, 936.5234375, 995.296875, 994.2734375, 996.9765625, 990.3515625]"
0.006821903207721965,8.484848484848484,"[750.265625, 988.09375, 602.421875, 801.8671875, 905.78125, 890.9140625, 871.984375, 865.109375, 963.984375, 922.4296875]"
0.004303711287280452,8.383838383838384,"[388.71875, 549.25, 992.8671875, 942.6484375, 982.4375, 1000.0, 977.4140625, 988.828125, 475.5625, 692.890625]"
0.001080577342992131,0.8080808080808081,"[252.6875, 289.5078125, 257.9921875, 239.703125, 247.984375, 378.1953125, 227.1015625, 223.8515625, 314.78125, 233.9921875]"
0.005418440904522979,7.474747474747475,"[712.3359375, 453.9609375, 552.1015625, 981.7109375, 822.921875, 731.8671875, 579.1171875, 937.625, 420.0625, 707.3046875]"
0.008588884551030166,2.4242424242424243,"[277.6640625, 301.4453125, 305.71875, 453.8984375, 449.4921875, 577.234375, 318.296875, 303.0703125, 293.3046875, 377.2265625]"
0.0002929626953471313,7.171717171717171,"[878.0234375, 945.0546875, 938.5, 988.1015625, 814.265625, 959.8359375, 953.75, 975.859375, 972.953125, 960.1953125]"
0.012608268587175545,0.8080808080808081,"[314.3828125, 317.1484375, 261.9140625, 287.3046875, 320.40625, 303.1875, 212.484375, 251.4140625, 249.859375, 307.9609375]"
0.021580505487636795,6.565656565656566,"[999.109375, 1000.0, 945.6484375, 927.6796875, 918.25, 943.4375, 942.8046875, 996.953125, 939.7109375, 954.765625]"
0.05855044475769315,0.10101010101010101,"[858.8828125, 901.2109375, 838.4453125, 706.4609375, 837.2578125, 874.7265625, 835.609375, 821.125, 896.0234375, 843.0546875]"
0.03988517590327993,6.4646464646464645,"[996.609375, 991.2890625, 959.9296875, 850.3515625, 867.2265625, 844.765625, 909.3359375, 960.609375, 948.8046875, 981.5625]"
0.003691098667017898,7.373737373737374,"[756.1640625, 537.96875, 336.3671875, 959.9296875, 944.15625, 973.296875, 953.3984375, 801.671875, 982.328125, 977.6171875]"
0.05021607031056004,3.2323232323232323,"[991.171875, 1000.0, 979.5078125, 991.78125, 956.96875, 959.6875, 912.8359375, 968.53125, 867.375, 973.0703125]"
0.0006817002185769346,0.30303030303030304,"[223.75, 247.546875, 233.8359375, 218.28125, 250.09375, 304.3828125, 223.8203125, 231.390625, 194.671875, 253.984375]"
0.00034158579123982024,1.3131313131313131,"[235.5390625, 222.453125, 260.328125, 278.71875, 260.375, 401.09375, 211.3046875, 245.9296875, 637.6484375, 279.9296875]"
0.02330265204971178,7.6767676767676765,"[991.1484375, 1000.0, 964.828125, 922.609375, 771.5859375, 887.703125, 833.359375, 882.390625, 994.3828125, 918.96875]"
0.002156500152519066,6.262626262626262,"[325.453125, 329.3125, 959.3671875, 599.515625, 700.1015625, 891.765625, 952.0859375, 971.875, 510.84375, 433.7578125]"
0.0018495327188680687,5.454545454545454,"[311.53125, 326.8671875, 852.0859375, 633.0078125, 963.1328125, 774.2890625, 960.90625, 988.6875, 289.9765625, 341.28125]"
0.003985652141834605,2.2222222222222223,"[258.890625, 260.75, 267.2265625, 297.203125, 252.7265625, 376.6875, 291.2421875, 286.5625, 236.359375, 299.0703125]"
0.0014690304791813143,8.282828282828282,"[994.3125, 720.4765625, 629.6640625, 1000.0, 910.375, 968.0625, 929.953125, 968.359375, 988.21875, 593.5234375]"
9.999999999999999e-05,4.94949494949495,"[854.15625, 933.7734375, 894.4609375, 963.4765625, 830.5234375, 776.2734375, 747.1015625, 895.6875, 864.078125, 888.2265625]"
0.00014679750917903885,4.545454545454545,"[981.9296875, 666.3359375, 953.546875, 981.4453125, 936.9375, 718.2109375, 894.734375, 787.71875, 872.203125, 872.6328125]"
0.000464381325261801,2.4242424242424243,"[242.4921875, 263.640625, 246.890625, 255.6171875, 277.65625, 418.0390625, 237.2265625, 300.625, 236.296875, 316.78125]"
0.009274286383257363,1.4141414141414141,"[252.28125, 250.0234375, 239.7109375, 291.0625, 298.203125, 341.328125, 233.84375, 271.078125, 242.1796875, 292.984375]"
0.05021607031056004,5.959595959595959,"[994.703125, 1000.0, 982.9921875, 996.1953125, 941.8125, 937.9140625, 946.765625, 887.1484375, 958.9609375, 996.203125]"
0.010014383987540799,8.282828282828282,"[977.9921875, 1000.0, 703.34375, 994.6953125, 923.6328125, 876.5, 978.46875, 952.2578125, 801.4375, 992.5]"
0.0005014394332495677,8.686868686868687,"[966.78125, 989.1640625, 782.1328125, 1000.0, 936.0078125, 993.8984375, 898.9609375, 1000.0, 692.7109375, 971.453125]"
0.001259921049894874,6.0606060606060606,"[602.296875, 421.7265625, 326.78125, 961.1953125, 603.34375, 821.484375, 751.90625, 983.453125, 446.7890625, 895.65625]"
0.12617333187632818,9.09090909090909,"[1000.0, 1000.0, 1000.0, 949.1796875, 743.2578125, 938.1953125, 989.46875, 996.703125, 980.671875, 968.53125]"
0.06322283054611633,7.373737373737374,"[990.703125, 1000.0, 981.0625, 937.8125, 963.0078125, 907.40625, 931.3984375, 998.0078125, 986.671875, 989.3046875]"
0.011676473941879328,4.848484848484849,"[850.4921875, 793.1875, 637.3125, 904.3984375, 893.3359375, 912.0, 936.53125, 947.0078125, 698.4921875, 819.375]"
0.03167964452409658,0.7070707070707071,"[652.1171875, 885.6484375, 720.40625, 679.703125, 982.890625, 773.8828125, 499.3828125, 945.6875, 481.3515625, 697.5546875]"
0.1082131644095978,5.757575757575758,"[1000.0, 1000.0, 997.046875, 995.328125, 974.1171875, 929.1015625, 891.2890625, 977.53125, 999.0546875, 1000.0]"
0.001080577342992131,6.8686868686868685,"[947.3203125, 940.296875, 579.4140625, 989.109375, 848.921875, 945.8359375, 938.1171875, 914.1640625, 641.453125, 633.0078125]"
0.0009267623509309258,4.343434343434343,"[265.703125, 275.796875, 276.546875, 798.4609375, 854.734375, 753.3046875, 547.0078125, 843.90625, 276.5703125, 420.125]"
