gamma,velocity_rew_weight,final_mean_return
0.0002929626953471313,7.171717171717171,"[418.625, 457.3984375, 441.4609375, 404.5546875, 319.3671875, 448.1796875, 666.4765625, 418.375, 344.375, 380.9140625]"
0.012608268587175545,0.8080808080808081,"[292.6953125, 221.4375, 292.609375, 256.0859375, 221.578125, 345.21875, 367.7109375, 269.9296875, 239.3125, 291.0078125]"
0.021580505487636795,6.565656565656566,"[1000.0, 1000.0, 970.0, 986.5, 955.8984375, 994.171875, 970.8984375, 1000.0, 995.4921875, 1000.0]"
0.05855044475769315,0.10101010101010101,"[460.3203125, 611.9921875, 543.453125, 753.0625, 731.09375, 877.3125, 566.28125, 737.1171875, 614.1328125, 502.640625]"
0.03988517590327993,6.4646464646464645,"[985.984375, 1000.0, 992.9375, 961.4375, 987.9140625, 982.28125, 1000.0, 1000.0, 997.2109375, 996.4140625]"
0.003691098667017898,7.373737373737374,"[660.625, 661.96875, 532.6171875, 615.640625, 720.96875, 717.5703125, 455.515625, 541.5078125, 524.828125, 439.9453125]"
0.05021607031056004,3.2323232323232323,"[995.015625, 996.8671875, 989.7734375, 1000.0, 971.421875, 981.8984375, 999.5703125, 992.703125, 978.21875, 998.84375]"
0.0006817002185769346,0.30303030303030304,"[234.8515625, 383.6328125, 280.046875, 634.0, 293.9453125, 750.28125, 210.7109375, 354.3203125, 243.6171875, 246.5390625]"
0.00034158579123982024,1.3131313131313131,"[224.8984375, 315.328125, 400.78125, 231.9453125, 360.90625, 269.625, 427.2421875, 249.4375, 496.703125, 224.5625]"
0.02330265204971178,7.6767676767676765,"[1000.0, 1000.0, 1000.0, 968.7265625, 762.8671875, 996.5, 1000.0, 1000.0, 994.2734375, 1000.0]"
0.002156500152519066,6.262626262626262,"[428.1640625, 368.296875, 402.40625, 333.2734375, 328.65625, 383.9296875, 442.0859375, 328.8671875, 407.9375, 397.0390625]"
0.0018495327188680687,5.454545454545454,"[411.3828125, 347.953125, 332.0234375, 295.5390625, 353.9140625, 466.1484375, 363.5703125, 367.046875, 339.9453125, 386.03125]"
0.003985652141834605,2.2222222222222223,"[277.640625, 274.453125, 315.8125, 279.484375, 303.171875, 264.9765625, 241.609375, 286.8828125, 262.453125, 286.7421875]"
0.0014690304791813143,8.282828282828282,"[448.3515625, 362.546875, 392.3359375, 364.875, 383.5, 461.09375, 381.2890625, 453.828125, 401.71875, 421.8984375]"
9.999999999999999e-05,4.94949494949495,"[318.3203125, 584.8125, 407.90625, 521.0859375, 477.6328125, 640.484375, 827.203125, 327.84375, 509.3203125, 353.8359375]"
0.00014679750917903885,4.545454545454545,"[634.4453125, 354.8203125, 654.796875, 432.0625, 513.796875, 435.71875, 639.0, 448.3125, 450.4140625, 343.890625]"
0.000464381325261801,2.4242424242424243,"[249.90625, 366.796875, 280.1484375, 278.6875, 286.5625, 303.125, 277.859375, 300.5546875, 270.3125, 283.53125]"
0.010014383987540799,8.282828282828282,"[1000.0, 1000.0, 972.4921875, 996.375, 974.859375, 997.015625, 992.1484375, 995.171875, 998.390625, 1000.0]"
0.009274286383257363,1.4141414141414141,"[302.859375, 289.84375, 306.171875, 301.8359375, 294.09375, 286.9375, 215.421875, 283.515625, 281.4375, 273.7265625]"
0.05021607031056004,5.959595959595959,"[992.984375, 988.4140625, 977.6015625, 958.984375, 983.15625, 983.4453125, 990.140625, 980.34375, 977.59375, 963.71875]"
0.0005014394332495677,8.686868686868687,"[484.03125, 386.0625, 451.59375, 570.4765625, 482.921875, 656.6640625, 410.8671875, 517.0703125, 422.421875, 482.8125]"
0.001259921049894874,6.0606060606060606,"[432.6640625, 319.1796875, 348.3203125, 333.0703125, 365.875, 380.7578125, 305.1171875, 401.6015625, 351.390625, 320.3203125]"
0.12617333187632818,9.09090909090909,"[964.2265625, 960.71875, 957.4921875, 968.6484375, 963.6953125, 968.328125, 977.2265625, 979.1171875, 972.8671875, 965.0]"
