gae_lambda,velocity_rew_weight,final_mean_return
0.9777777777777777,4.444444444444445,"[376.0078125, 397.2578125, 297.8828125, 324.2890625, 313.9609375, 349.25, 329.8359375, 301.140625, 337.265625, 347.109375]"
0.8828282828282829,9.191919191919192,"[1000.0, 758.015625, 1000.0, 970.4296875, 990.9453125, 982.75, 886.703125, 1000.0, 687.2265625, 1000.0]"
0.9575757575757575,4.747474747474747,"[455.3984375, 323.328125, 495.625, 375.25, 405.234375, 447.4375, 365.78125, 423.7265625, 367.0078125, 451.3203125]"
0.8787878787878788,4.848484848484849,"[557.6171875, 1000.0, 769.4609375, 612.9296875, 499.5703125, 542.21875, 846.8828125, 687.7265625, 996.59375, 949.8125]"
0.9838383838383838,5.05050505050505,"[292.3125, 355.8203125, 317.390625, 376.0, 306.109375, 359.828125, 332.421875, 328.5234375, 323.1171875, 384.7421875]"
0.9777777777777777,0.9090909090909091,"[240.7265625, 235.5234375, 238.8984375, 233.265625, 255.875, 296.7109375, 228.8046875, 229.8046875, 245.453125, 279.5]"
0.9434343434343435,3.2323232323232323,"[507.125, 372.21875, 392.03125, 371.1875, 414.296875, 378.875, 350.2109375, 458.3203125, 347.9140625, 370.5390625]"
0.8505050505050505,6.363636363636363,"[827.4140625, 1000.0, 999.5703125, 985.984375, 812.5390625, 928.5078125, 689.3359375, 1000.0, 989.71875, 1000.0]"
0.8949494949494949,8.383838383838384,"[997.6796875, 1000.0, 969.1875, 636.90625, 990.96875, 974.2421875, 739.6171875, 1000.0, 1000.0, 1000.0]"
0.8020202020202021,1.3131313131313131,"[739.1796875, 521.921875, 499.0390625, 832.4453125, 392.1015625, 416.0625, 443.703125, 499.1953125, 486.1875, 621.84375]"
0.8707070707070708,8.98989898989899,"[984.90625, 1000.0, 1000.0, 964.6484375, 979.6328125, 997.6171875, 989.328125, 1000.0, 995.328125, 1000.0]"
0.9171717171717172,4.343434343434343,"[530.265625, 747.9609375, 526.125, 486.9453125, 438.8515625, 455.6484375, 636.328125, 475.5, 600.8828125, 575.0703125]"
0.9959595959595959,4.242424242424242,"[287.859375, 317.6484375, 397.1953125, 314.7578125, 280.390625, 281.0859375, 318.390625, 392.25, 314.296875, 299.1640625]"
0.9030303030303031,1.8181818181818181,"[434.671875, 409.7109375, 412.6484375, 455.2421875, 427.6953125, 364.1796875, 336.890625, 419.0390625, 386.8515625, 429.28125]"
0.888888888888889,7.070707070707071,"[601.921875, 669.234375, 695.0625, 657.890625, 654.359375, 873.4765625, 593.3984375, 927.953125, 1000.0, 884.984375]"
0.8141414141414142,2.121212121212121,"[472.265625, 859.5390625, 855.7265625, 437.546875, 436.65625, 531.078125, 436.6796875, 664.3125, 854.6015625, 1000.0]"
0.8626262626262626,5.555555555555555,"[999.578125, 1000.0, 869.78125, 934.9453125, 853.40625, 430.4453125, 559.9765625, 620.0078125, 914.6484375, 1000.0]"
0.9636363636363636,2.6262626262626263,"[350.5234375, 327.578125, 337.53125, 293.078125, 354.03125, 319.3125, 289.9375, 315.953125, 293.0234375, 332.578125]"
0.8565656565656566,2.8282828282828283,"[539.7578125, 1000.0, 980.9296875, 421.234375, 411.9609375, 390.90625, 640.78125, 561.9375, 873.203125, 982.03125]"
0.9595959595959596,0.0,"[1000.0, 994.6015625, 437.1328125, 998.0, 1000.0, 1000.0, 993.8984375, 1000.0, 1000.0, 993.625]"
0.9292929292929293,3.5353535353535355,"[516.2734375, 503.125, 464.578125, 410.6328125, 339.765625, 453.8984375, 385.8359375, 368.0625, 586.0625, 523.1328125]"
0.9434343434343435,5.959595959595959,"[701.0859375, 550.171875, 511.34375, 446.0703125, 476.2734375, 458.203125, 419.0703125, 480.1640625, 531.6953125, 527.078125]"
0.9090909090909092,8.484848484848484,"[504.25, 640.0, 736.78125, 648.046875, 989.9140625, 855.8203125, 714.671875, 780.5546875, 997.046875, 717.5390625]"
0.9818181818181818,0.8080808080808081,"[261.34375, 238.3359375, 248.6796875, 248.5078125, 296.703125, 533.1640625, 194.046875, 234.234375, 226.3515625, 245.828125]"
0.9676767676767677,3.2323232323232323,"[300.3984375, 344.0625, 323.4140625, 292.3828125, 345.1953125, 409.109375, 341.9765625, 315.0078125, 300.4453125, 386.328125]"
0.9797979797979798,6.161616161616162,"[497.8046875, 329.625, 416.1015625, 306.265625, 336.28125, 420.9296875, 344.6640625, 328.90625, 337.5390625, 334.7890625]"
0.8262626262626263,1.3131313131313131,"[441.0, 494.453125, 420.859375, 366.0625, 437.0703125, 339.390625, 425.046875, 659.5625, 493.4921875, 421.453125]"
0.9333333333333333,9.595959595959595,"[950.7421875, 899.5546875, 673.578125, 599.09375, 870.7421875, 674.53125, 821.6796875, 748.7734375, 999.0859375, 980.4375]"
0.8464646464646465,7.474747474747475,"[999.96875, 1000.0, 995.4140625, 989.9453125, 990.3359375, 959.4921875, 928.671875, 997.265625, 977.703125, 996.0625]"
0.901010101010101,7.979797979797979,"[981.203125, 956.6875, 1000.0, 608.5546875, 627.359375, 885.5859375, 479.28125, 739.171875, 658.75, 678.6796875]"
0.8808080808080808,2.8282828282828283,"[483.6640625, 725.6640625, 492.0, 472.796875, 452.0703125, 451.828125, 582.0859375, 465.671875, 444.890625, 571.5078125]"
0.9595959595959596,2.727272727272727,"[347.7890625, 398.8359375, 427.8125, 341.90625, 441.9140625, 376.0546875, 314.5390625, 408.2109375, 330.5703125, 361.3046875]"
0.8929292929292929,5.757575757575758,"[584.765625, 995.8046875, 993.171875, 685.2734375, 709.234375, 636.171875, 918.6875, 713.9140625, 809.421875, 1000.0]"
0.9676767676767677,5.959595959595959,"[383.3671875, 451.8984375, 398.421875, 363.421875, 395.9765625, 443.59375, 322.9765625, 387.9296875, 467.3984375, 348.6875]"
0.9070707070707071,1.5151515151515151,"[410.84375, 404.46875, 359.5703125, 348.8203125, 389.7578125, 429.9140625, 329.4765625, 378.1953125, 367.6953125, 367.296875]"
0.9292929292929293,0.30303030303030304,"[249.9921875, 391.421875, 346.7109375, 625.3359375, 400.65625, 970.0, 209.2890625, 366.3671875, 217.2578125, 257.4609375]"
0.8080808080808082,1.9191919191919191,"[1000.0, 698.859375, 528.5078125, 474.9765625, 368.0703125, 397.7734375, 747.046875, 994.609375, 1000.0, 882.125]"
0.8060606060606061,7.070707070707071,"[1000.0, 994.265625, 1000.0, 979.96875, 994.7890625, 915.21875, 910.875, 998.453125, 995.1015625, 1000.0]"
0.9858585858585859,4.040404040404041,"[297.4765625, 300.046875, 262.9609375, 300.9453125, 325.734375, 269.984375, 296.453125, 310.1484375, 293.7734375, 378.21875]"
0.9797979797979798,9.8989898989899,"[479.3359375, 335.46875, 607.921875, 541.78125, 490.15625, 537.2265625, 421.578125, 441.90625, 421.6640625, 460.4375]"
0.9191919191919192,2.323232323232323,"[481.1875, 383.875, 392.0625, 342.140625, 354.0078125, 461.21875, 389.1796875, 383.5546875, 424.2578125, 442.9375]"
0.9313131313131313,5.252525252525253,"[531.90625, 531.6015625, 529.6484375, 510.171875, 505.2265625, 480.78125, 572.2265625, 382.5859375, 461.875, 584.0546875]"
0.8525252525252526,5.353535353535354,"[852.484375, 999.9609375, 603.890625, 994.390625, 827.09375, 569.109375, 762.921875, 997.8984375, 997.2109375, 975.0625]"
0.9858585858585859,0.5050505050505051,"[205.8671875, 202.7890625, 243.75, 246.9609375, 285.8125, 343.5078125, 258.0703125, 236.328125, 186.2734375, 217.7421875]"
0.8060606060606061,8.787878787878787,"[1000.0, 1000.0, 1000.0, 988.3125, 995.7109375, 973.28125, 994.8828125, 991.6953125, 1000.0, 1000.0]"
0.8242424242424243,8.080808080808081,"[946.7109375, 1000.0, 1000.0, 996.40625, 1000.0, 968.046875, 1000.0, 1000.0, 995.3359375, 996.921875]"
0.8303030303030303,1.0101010101010102,"[494.03125, 624.1640625, 544.40625, 505.5234375, 369.5625, 536.0390625, 567.6640625, 623.765625, 679.734375, 702.8203125]"
0.8767676767676768,6.4646464646464645,"[891.2578125, 1000.0, 747.8203125, 611.6484375, 983.8984375, 504.109375, 518.125, 692.671875, 995.875, 1000.0]"
0.8444444444444444,4.848484848484849,"[496.1640625, 1000.0, 947.3125, 492.3203125, 615.0390625, 748.8984375, 638.5625, 871.390625, 995.9453125, 994.890625]"
0.8101010101010101,5.757575757575758,"[1000.0, 1000.0, 951.1171875, 1000.0, 921.3046875, 983.5390625, 920.1875, 991.6171875, 994.4453125, 1000.0]"
0.9696969696969697,7.6767676767676765,"[508.796875, 507.4296875, 514.40625, 410.5, 443.4140625, 559.625, 451.1796875, 417.1328125, 383.5625, 389.640625]"
0.9030303030303031,0.7070707070707071,"[374.640625, 266.75, 314.46875, 285.9140625, 324.71875, 436.0859375, 281.828125, 416.9765625, 306.0625, 377.7578125]"
0.9939393939393939,8.787878787878787,"[464.75, 428.0078125, 384.53125, 458.7109375, 506.4453125, 402.6875, 366.0078125, 433.9765625, 348.0390625, 369.4296875]"
0.8949494949494949,3.7373737373737375,"[499.78125, 614.140625, 668.5625, 607.1328125, 459.546875, 725.2578125, 502.03125, 502.875, 585.0703125, 501.9453125]"
0.8363636363636364,8.98989898989899,"[1000.0, 1000.0, 995.6875, 985.59375, 995.71875, 996.4375, 1000.0, 1000.0, 992.4453125, 1000.0]"
0.9353535353535354,1.4141414141414141,"[377.0078125, 324.1953125, 400.3828125, 388.3515625, 376.5859375, 367.6953125, 291.8203125, 311.2109375, 280.015625, 325.96875]"
0.9030303030303031,6.96969696969697,"[859.421875, 1000.0, 497.875, 639.5625, 876.84375, 779.5546875, 586.921875, 522.359375, 565.4140625, 916.5]"
0.9818181818181818,6.8686868686868685,"[377.0546875, 406.4921875, 375.8203125, 361.0, 517.078125, 590.0078125, 393.75, 364.765625, 396.578125, 340.15625]"
0.8282828282828283,5.555555555555555,"[997.640625, 995.65625, 833.25, 991.4921875, 902.703125, 900.0625, 874.6953125, 1000.0, 1000.0, 1000.0]"
0.9878787878787879,2.0202020202020203,"[265.46875, 263.1015625, 259.203125, 257.109375, 267.3125, 276.4375, 273.9921875, 236.15625, 245.2578125, 304.296875]"
0.9252525252525252,0.0,"[1000.0, 1000.0, 970.8984375, 1000.0, 1000.0, 1000.0, 993.703125, 1000.0, 994.9453125, 1000.0]"
0.8747474747474748,8.484848484848484,"[1000.0, 1000.0, 1000.0, 995.8359375, 971.5859375, 974.34375, 967.65625, 1000.0, 1000.0, 995.34375]"
0.9474747474747475,0.8080808080808081,"[400.546875, 310.0390625, 281.1796875, 322.734375, 404.3359375, 374.609375, 238.203125, 255.109375, 281.484375, 466.9140625]"
