learning_rate,distance_rew_weight,final_mean_return
4.6415888336127825e-05,5.959595959595959,"[442.6640625, 513.3828125, 378.4609375, 407.359375, 537.8515625, 614.7109375, 481.7421875, 681.15625, 462.3203125, 288.6171875]"
0.001,2.929292929292929,"[226.359375, 215.8125, 221.0234375, 238.46875, 212.265625, 199.28125, 196.6484375, 210.046875, 196.546875, 178.578125]"
1.3219411484660286e-05,2.6262626262626263,"[528.0546875, 588.7265625, 592.109375, 432.6796875, 632.7421875, 660.0, 334.65625, 406.6640625, 675.171875, 532.953125]"
0.004977023564332114,7.878787878787879,"[253.109375, 971.1796875, 518.6015625, 549.65625, 991.421875, 736.9609375, 962.984375, 213.4453125, 911.3828125, 199.359375]"
0.002009233002565048,8.181818181818182,"[213.4140625, 215.8515625, 252.890625, 208.7890625, 190.78125, 227.515625, 193.2890625, 883.0234375, 187.5703125, 189.171875]"
0.0010722672220103231,6.4646464646464645,"[220.8515625, 183.8203125, 197.0625, 213.0390625, 216.5234375, 204.578125, 196.5234375, 210.671875, 219.96875, 208.8203125]"
0.0006579332246575682,1.2121212121212122,"[185.84375, 231.0703125, 227.0, 263.203125, 267.65625, 300.7421875, 240.234375, 230.734375, 192.2578125, 232.125]"
4.037017258596558e-05,2.323232323232323,"[490.4921875, 374.953125, 428.390625, 398.4765625, 465.125, 337.125, 410.1328125, 535.6640625, 430.96875, 359.453125]"
5.72236765935022e-05,2.121212121212121,"[412.6015625, 526.453125, 428.5859375, 597.40625, 377.0, 396.015625, 320.453125, 486.1484375, 478.609375, 406.15625]"
0.0003053855508833415,8.787878787878787,"[240.2421875, 265.65625, 307.0078125, 772.625, 297.53125, 994.375, 219.078125, 276.9375, 210.6328125, 219.8515625]"
0.002009233002565048,1.0101010101010102,"[221.5078125, 302.828125, 222.09375, 257.1171875, 210.0703125, 229.0703125, 241.3671875, 664.375, 246.578125, 236.28125]"
0.00046415888336127817,6.565656565656566,"[206.0078125, 203.3046875, 232.2421875, 192.296875, 207.640625, 215.4453125, 209.9375, 208.3671875, 218.8984375, 206.7109375]"
0.00040370172585965576,4.94949494949495,"[196.0859375, 209.0625, 210.046875, 198.8515625, 208.5546875, 210.71875, 198.21875, 206.25, 195.4921875, 191.2578125]"
6.579332246575681e-05,4.040404040404041,"[474.359375, 380.03125, 422.765625, 424.7734375, 421.9921875, 279.9609375, 344.140625, 492.265625, 400.3828125, 371.109375]"
0.003274549162877728,8.88888888888889,"[254.109375, 993.625, 237.359375, 237.4765625, 203.28125, 206.546875, 258.0390625, 231.9375, 220.6015625, 218.65625]"
2.0092330025650458e-05,7.171717171717171,"[710.0234375, 842.7265625, 700.765625, 538.0390625, 993.96875, 1000.0, 816.0078125, 993.8984375, 836.5234375, 861.796875]"
0.00026560877829466864,2.8282828282828283,"[241.921875, 237.2421875, 223.484375, 241.0625, 233.375, 222.8828125, 242.546875, 217.3046875, 221.796875, 251.3203125]"
0.0030538555088334154,4.242424242424242,"[229.421875, 264.03125, 225.6484375, 192.0625, 212.046875, 228.640625, 657.078125, 228.4765625, 214.2265625, 187.0546875]"
1.1497569953977357e-05,6.666666666666667,"[809.5234375, 988.40625, 821.6328125, 993.8046875, 994.0, 1000.0, 896.6875, 1000.0, 933.8515625, 968.9921875]"
0.0011497569953977356,6.161616161616162,"[189.328125, 205.5859375, 221.890625, 206.0703125, 203.328125, 216.7734375, 803.6875, 205.5, 205.78125, 206.2734375]"
3.764935806792471e-05,6.666666666666667,"[858.9453125, 618.40625, 376.265625, 636.265625, 535.5, 1000.0, 731.8046875, 862.140625, 730.3359375, 277.1875]"
