gamma,distance_rew_weight,final_mean_return
0.001997127334530273,5.757575757575758,"[213.1875, 257.1953125, 223.1171875, 218.4609375, 223.5703125, 228.1796875, 200.3671875, 215.4453125, 248.1640625, 213.6484375]"
0.0023285910855096064,3.131313131313131,"[221.8203125, 205.2734375, 223.2734375, 209.5234375, 210.5, 233.3671875, 218.375, 239.5546875, 214.421875, 207.7890625]"
0.00012590158918273834,5.858585858585858,"[850.40625, 594.3515625, 745.640625, 568.28125, 250.921875, 661.9609375, 300.140625, 275.4453125, 710.6015625, 578.8125]"
0.0010007189409390025,6.262626262626262,"[276.8828125, 247.8828125, 227.6171875, 226.578125, 236.9453125, 223.9921875, 408.8359375, 251.03125, 206.203125, 232.953125]"
0.014700866253334402,4.94949494949495,"[186.5234375, 187.2421875, 223.578125, 181.8203125, 208.0234375, 202.7890625, 182.265625, 190.3828125, 177.2109375, 183.375]"
0.0006817002185769346,7.171717171717171,"[282.9921875, 235.4140625, 277.703125, 289.2265625, 219.6171875, 292.453125, 797.453125, 232.3203125, 249.6796875, 724.046875]"
0.0005014394332495677,3.7373737373737375,"[239.640625, 206.9765625, 231.9765625, 256.140625, 245.3984375, 441.28125, 746.78125, 231.421875, 275.546875, 227.4140625]"
0.004647151880078404,6.262626262626262,"[198.5859375, 197.7890625, 197.109375, 190.1640625, 208.6484375, 194.5234375, 183.2890625, 203.09375, 208.8984375, 188.46875]"
0.009274286383257363,7.979797979797979,"[203.578125, 199.78125, 219.953125, 184.7734375, 211.25, 176.8828125, 192.2578125, 189.5859375, 189.625, 196.2578125]"
0.013614421404752578,4.040404040404041,"[181.671875, 187.625, 183.5390625, 170.5859375, 207.8984375, 215.484375, 183.203125, 187.390625, 174.4609375, 195.3203125]"
0.00039827887519494257,5.555555555555555,"[235.2890625, 229.40625, 258.96875, 249.3515625, 299.5078125, 801.8671875, 301.890625, 255.3203125, 239.6640625, 474.59375]"
0.14711435307922738,1.0101010101010102,"[1000.0, 1000.0, 980.3046875, 1000.0, 952.5859375, 954.3984375, 969.6328125, 1000.0, 996.1875, 999.171875]"
0.00017116153053391744,4.646464646464646,"[467.140625, 936.125, 864.84375, 627.3125, 512.328125, 495.2265625, 730.1796875, 244.7734375, 435.5078125, 449.4296875]"
