gae_lambda,distance_rew_weight,final_mean_return
0.9777777777777777,4.444444444444445,"[231.1484375, 209.6953125, 232.3984375, 223.171875, 214.3984375, 239.9375, 205.9296875, 238.484375, 190.5234375, 230.9453125]"
0.8828282828282829,9.191919191919192,"[264.65625, 214.2109375, 206.0859375, 266.1484375, 234.3359375, 291.1171875, 221.0234375, 270.796875, 269.3828125, 233.984375]"
0.8787878787878788,4.848484848484849,"[241.65625, 193.84375, 305.5234375, 222.0234375, 272.03125, 267.65625, 253.7734375, 303.6015625, 233.8984375, 199.0546875]"
0.9575757575757575,4.747474747474747,"[228.6953125, 213.6953125, 232.7421875, 188.640625, 241.59375, 216.8203125, 209.796875, 220.09375, 217.90625, 204.6171875]"
0.9838383838383838,5.05050505050505,"[230.78125, 214.109375, 284.0234375, 251.34375, 221.140625, 239.0390625, 204.5859375, 252.4453125, 193.59375, 219.8984375]"
0.9777777777777777,0.9090909090909091,"[267.328125, 224.0703125, 289.953125, 266.3984375, 280.1953125, 281.1640625, 229.3671875, 248.0078125, 226.8125, 298.875]"
0.9434343434343435,3.2323232323232323,"[229.4375, 225.6171875, 236.375, 215.6796875, 251.3515625, 249.4765625, 252.7890625, 216.734375, 215.7421875, 218.609375]"
0.8505050505050505,6.363636363636363,"[218.90625, 337.484375, 340.03125, 245.25, 293.484375, 308.6640625, 220.625, 219.9765625, 213.8125, 207.1875]"
0.8949494949494949,8.383838383838384,"[380.328125, 276.7265625, 208.3203125, 210.6875, 224.5859375, 561.5078125, 267.90625, 217.28125, 237.3046875, 217.703125]"
0.8020202020202021,1.3131313131313131,"[794.890625, 704.1015625, 577.3984375, 545.0546875, 418.953125, 495.75, 958.8984375, 767.484375, 593.3984375, 553.6328125]"
0.8707070707070708,8.98989898989899,"[255.875, 211.09375, 213.71875, 224.3828125, 225.96875, 247.640625, 233.15625, 209.5546875, 235.65625, 318.3984375]"
0.9171717171717172,4.343434343434343,"[215.859375, 236.3359375, 317.3203125, 244.2265625, 243.4453125, 214.7890625, 212.0859375, 280.421875, 247.5546875, 233.15625]"
0.9959595959595959,4.242424242424242,"[240.4140625, 249.0, 288.328125, 272.2578125, 252.265625, 327.578125, 204.8984375, 428.7890625, 230.1171875, 222.8671875]"
0.9030303030303031,1.8181818181818181,"[323.359375, 293.1015625, 345.671875, 327.15625, 281.3984375, 328.1015625, 306.4921875, 408.1015625, 338.9921875, 289.0859375]"
0.888888888888889,7.070707070707071,"[233.578125, 201.953125, 243.046875, 219.0078125, 279.7421875, 231.828125, 236.8359375, 229.0078125, 290.890625, 212.875]"
0.8141414141414142,2.121212121212121,"[519.65625, 567.25, 570.2578125, 341.65625, 447.921875, 380.609375, 836.140625, 489.6328125, 386.4921875, 406.2421875]"
0.8626262626262626,5.555555555555555,"[239.421875, 258.6640625, 265.1640625, 237.8046875, 241.0390625, 228.1640625, 230.96875, 221.921875, 312.9609375, 199.7578125]"
0.9636363636363636,2.6262626262626263,"[223.21875, 269.6171875, 255.40625, 232.9453125, 259.921875, 226.0234375, 259.09375, 224.4375, 230.046875, 226.328125]"
0.8565656565656566,2.8282828282828283,"[263.53125, 294.1640625, 347.78125, 278.0078125, 245.28125, 252.171875, 339.375, 275.59375, 268.4453125, 237.1015625]"
0.9595959595959596,0.0,"[482.9921875, 336.5390625, 340.0625, 425.28125, 263.8515625, 385.65625, 243.140625, 380.2734375, 304.078125, 351.28125]"
0.9292929292929293,3.5353535353535355,"[250.2421875, 217.7890625, 353.2890625, 229.828125, 250.015625, 256.8515625, 242.8359375, 262.4765625, 222.15625, 193.0625]"
0.9434343434343435,5.959595959595959,"[265.4921875, 246.359375, 250.0859375, 238.5625, 247.2734375, 225.109375, 220.2421875, 226.8125, 215.125, 197.84375]"
0.9090909090909092,8.484848484848484,"[218.59375, 230.796875, 223.46875, 209.4921875, 243.140625, 270.78125, 238.6171875, 256.4609375, 236.46875, 224.953125]"
0.9818181818181818,0.8080808080808081,"[229.8828125, 253.3125, 232.2578125, 248.5703125, 236.71875, 239.328125, 230.671875, 232.0390625, 236.4765625, 260.7265625]"
0.9676767676767677,3.2323232323232323,"[233.5625, 198.9609375, 243.6171875, 200.765625, 221.6796875, 233.515625, 199.046875, 228.125, 320.4296875, 223.8203125]"
0.9797979797979798,6.161616161616162,"[259.4453125, 217.1796875, 246.2265625, 240.828125, 220.6015625, 253.28125, 221.1875, 277.9453125, 216.71875, 215.046875]"
0.8262626262626263,1.3131313131313131,"[498.4296875, 536.859375, 773.5390625, 480.5703125, 396.5, 501.875, 583.84375, 863.6875, 470.3046875, 472.9765625]"
0.9333333333333333,9.595959595959595,"[267.9453125, 286.6796875, 290.8046875, 249.4296875, 239.109375, 274.5078125, 750.5703125, 257.6484375, 308.828125, 314.65625]"
0.8464646464646465,7.474747474747475,"[238.984375, 202.4375, 224.921875, 228.0859375, 296.8984375, 262.5390625, 254.7109375, 215.671875, 349.3984375, 197.890625]"
0.901010101010101,7.979797979797979,"[243.34375, 444.1484375, 229.9296875, 223.421875, 241.2734375, 222.265625, 232.8671875, 212.671875, 275.28125, 235.8359375]"
0.8808080808080808,2.8282828282828283,"[289.6171875, 256.9921875, 316.7421875, 248.078125, 290.4921875, 270.7734375, 261.609375, 268.9453125, 243.1875, 229.4140625]"
0.9595959595959596,2.727272727272727,"[217.125, 246.6640625, 256.21875, 216.9375, 244.1796875, 281.59375, 251.046875, 238.15625, 200.8671875, 211.828125]"
0.8929292929292929,5.757575757575758,"[218.390625, 192.859375, 257.6796875, 218.3359375, 251.625, 239.2578125, 231.5625, 218.265625, 219.3125, 218.390625]"
0.9676767676767677,5.959595959595959,"[222.578125, 207.046875, 226.84375, 216.5, 254.828125, 216.765625, 218.8984375, 249.53125, 234.5234375, 195.9140625]"
0.9070707070707071,1.5151515151515151,"[357.9765625, 293.3984375, 299.9140625, 334.890625, 317.125, 289.7265625, 300.2734375, 349.3515625, 333.1484375, 340.6328125]"
0.9292929292929293,0.30303030303030304,"[399.2421875, 373.296875, 368.6015625, 378.515625, 350.75, 398.1953125, 278.34375, 269.875, 319.2421875, 337.1328125]"
0.8080808080808082,1.9191919191919191,"[424.3515625, 469.8359375, 537.21875, 329.6171875, 465.8359375, 327.2734375, 416.0703125, 560.078125, 434.890625, 390.09375]"
0.8060606060606061,7.070707070707071,"[220.796875, 600.375, 379.0859375, 319.1484375, 249.3984375, 249.453125, 322.9609375, 240.4609375, 297.8203125, 203.46875]"
0.9858585858585859,4.040404040404041,"[201.09375, 218.6953125, 258.1875, 215.5, 210.984375, 224.0078125, 214.15625, 232.2109375, 245.828125, 218.625]"
0.9797979797979798,9.8989898989899,"[256.71875, 356.234375, 299.4921875, 289.40625, 446.6875, 517.578125, 518.4765625, 385.7734375, 264.0703125, 236.3203125]"
0.9191919191919192,2.323232323232323,"[281.4921875, 268.5625, 397.9609375, 272.90625, 298.4453125, 261.3515625, 294.0546875, 256.84375, 271.765625, 259.6015625]"
0.8525252525252526,5.353535353535354,"[252.609375, 210.8828125, 301.5390625, 226.5, 241.796875, 257.3125, 258.46875, 267.71875, 241.25, 198.1328125]"
0.9313131313131313,5.252525252525253,"[221.109375, 225.3984375, 280.2265625, 336.4296875, 246.65625, 245.828125, 215.53125, 214.8984375, 230.4296875, 194.296875]"
0.9858585858585859,0.5050505050505051,"[250.84375, 248.1796875, 227.8828125, 244.859375, 244.8203125, 278.25, 254.0078125, 282.5859375, 265.609375, 285.5234375]"
0.8060606060606061,8.787878787878787,"[231.859375, 236.921875, 703.0, 231.40625, 289.359375, 261.6015625, 229.171875, 222.9375, 217.2421875, 214.8984375]"
0.8242424242424243,8.080808080808081,"[212.078125, 244.71875, 260.0625, 212.7578125, 261.84375, 262.796875, 238.0625, 213.78125, 223.390625, 438.1640625]"
0.8303030303030303,1.0101010101010102,"[595.6875, 559.8125, 588.28125, 523.1796875, 431.875, 462.671875, 448.9375, 524.03125, 578.3125, 585.4296875]"
0.8767676767676768,6.4646464646464645,"[230.3203125, 230.875, 272.4921875, 235.9296875, 229.71875, 243.4140625, 261.0390625, 207.8984375, 252.2421875, 218.5859375]"
0.8444444444444444,4.848484848484849,"[240.8359375, 215.8125, 272.765625, 227.9296875, 281.96875, 265.515625, 432.3203125, 248.859375, 247.109375, 198.5625]"
0.8101010101010101,5.757575757575758,"[211.96875, 227.1640625, 314.2890625, 235.2109375, 231.1796875, 236.390625, 249.859375, 243.5390625, 258.5625, 213.265625]"
0.9696969696969697,7.6767676767676765,"[238.234375, 265.8359375, 250.15625, 209.7578125, 237.0, 261.1015625, 214.984375, 233.765625, 264.6953125, 234.5546875]"
0.9030303030303031,0.7070707070707071,"[399.3984375, 322.59375, 414.3984375, 342.1015625, 513.3125, 383.546875, 297.8828125, 419.34375, 453.4921875, 448.984375]"
