gae_lambda,angle_rew_weight,final_mean_return
0.9676767676767677,3.2323232323232323,"[310.8359375, 256.2109375, 313.4453125, 365.2421875, 512.9296875, 577.875, 322.4765625, 391.3359375, 278.96875, 355.609375]"
0.9818181818181818,0.8080808080808081,"[271.1015625, 226.265625, 240.6484375, 241.5, 253.640625, 353.8671875, 243.7265625, 274.0859375, 260.453125, 302.34375]"
0.9797979797979798,6.161616161616162,"[450.921875, 866.9140625, 286.8515625, 966.46875, 852.15625, 848.390625, 568.578125, 971.28125, 500.2734375, 587.9921875]"
0.8262626262626263,1.3131313131313131,"[462.3984375, 632.140625, 583.15625, 577.25, 581.6484375, 681.9375, 510.0, 982.140625, 560.828125, 951.609375]"
0.9333333333333333,9.595959595959595,"[1000.0, 939.5078125, 885.9453125, 988.59375, 835.96875, 887.046875, 804.7265625, 959.046875, 855.578125, 928.9921875]"
0.8464646464646465,7.474747474747475,"[994.3125, 973.3203125, 964.7578125, 879.53125, 897.46875, 946.8125, 698.3671875, 911.8828125, 890.3125, 984.1484375]"
0.901010101010101,7.979797979797979,"[924.828125, 649.6484375, 763.703125, 825.1796875, 968.96875, 844.703125, 834.765625, 452.65625, 682.0078125, 976.6953125]"
0.8808080808080808,2.8282828282828283,"[469.03125, 424.7265625, 635.7890625, 455.125, 965.6171875, 643.703125, 390.9765625, 614.6015625, 409.609375, 640.9140625]"
0.9595959595959596,2.727272727272727,"[337.875, 233.5078125, 286.46875, 569.3984375, 252.1640625, 519.0546875, 275.453125, 312.6015625, 272.59375, 445.546875]"
0.8929292929292929,5.757575757575758,"[996.1875, 936.1171875, 921.671875, 801.2890625, 875.34375, 864.4296875, 656.4765625, 866.2734375, 589.140625, 977.8828125]"
0.9676767676767677,5.959595959595959,"[327.578125, 484.234375, 395.3515625, 945.796875, 890.7109375, 940.1015625, 943.4453125, 938.7734375, 590.125, 719.359375]"
0.9070707070707071,1.5151515151515151,"[388.1015625, 345.8125, 394.328125, 395.5859375, 567.65625, 403.5390625, 312.7890625, 312.2578125, 329.4140625, 577.515625]"
0.9292929292929293,0.30303030303030304,"[306.7109375, 258.9921875, 290.8046875, 230.8359375, 289.53125, 257.3828125, 284.78125, 249.984375, 243.3984375, 247.0]"
0.8080808080808082,1.9191919191919191,"[890.8359375, 664.75, 497.0234375, 859.8671875, 866.828125, 827.90625, 581.2265625, 900.6484375, 827.7734375, 984.3515625]"
0.8060606060606061,7.070707070707071,"[976.046875, 993.5390625, 937.203125, 926.4921875, 880.8671875, 936.7421875, 665.1328125, 842.359375, 903.8984375, 999.9375]"
0.9858585858585859,4.040404040404041,"[433.4375, 272.796875, 275.46875, 796.3046875, 738.5859375, 652.8125, 311.25, 410.90625, 278.0, 347.734375]"
0.9797979797979798,9.8989898989899,"[1000.0, 848.578125, 951.6640625, 1000.0, 983.1328125, 988.890625, 1000.0, 1000.0, 673.6484375, 894.4375]"
0.9191919191919192,2.323232323232323,"[321.296875, 374.578125, 439.8828125, 668.0078125, 469.0703125, 582.3671875, 334.625, 319.4609375, 352.6484375, 431.46875]"
0.9313131313131313,5.252525252525253,"[370.9921875, 772.3828125, 294.875, 843.2890625, 744.53125, 850.796875, 766.4375, 829.4375, 390.3203125, 523.0546875]"
0.8525252525252526,5.353535353535354,"[901.8203125, 974.6328125, 882.71875, 897.03125, 837.625, 857.1328125, 530.78125, 909.6171875, 866.234375, 816.703125]"
0.9858585858585859,0.5050505050505051,"[249.3828125, 219.8515625, 207.390625, 267.1171875, 253.3125, 363.875, 213.4765625, 247.625, 250.8046875, 238.171875]"
0.8060606060606061,8.787878787878787,"[991.453125, 997.7734375, 798.4921875, 913.1640625, 938.671875, 952.453125, 724.3671875, 886.375, 974.6640625, 950.03125]"
0.8242424242424243,8.080808080808081,"[993.40625, 979.90625, 980.7734375, 797.4609375, 825.2109375, 895.46875, 644.625, 804.3671875, 918.78125, 995.203125]"
0.8303030303030303,1.0101010101010102,"[567.4609375, 725.6796875, 493.203125, 505.3828125, 590.7109375, 442.03125, 1000.0, 798.6796875, 609.84375, 705.5390625]"
0.8767676767676768,6.4646464646464645,"[942.4453125, 862.8046875, 581.5859375, 905.671875, 754.546875, 941.296875, 696.140625, 876.65625, 529.078125, 902.3125]"
0.8444444444444444,4.848484848484849,"[952.2265625, 764.078125, 741.3046875, 897.375, 875.0390625, 883.328125, 529.703125, 833.5390625, 669.78125, 869.6484375]"
0.8101010101010101,5.757575757575758,"[970.0234375, 911.203125, 994.421875, 959.0625, 959.9140625, 844.5, 595.5546875, 890.6015625, 928.6328125, 996.203125]"
0.9696969696969697,7.6767676767676765,"[680.515625, 935.8046875, 600.7421875, 579.0703125, 942.796875, 965.484375, 938.15625, 947.6171875, 846.109375, 623.4921875]"
0.9030303030303031,0.7070707070707071,"[394.4296875, 387.5625, 390.2734375, 282.828125, 397.203125, 358.6875, 385.8515625, 349.1171875, 418.46875, 347.2109375]"
0.8363636363636364,8.98989898989899,"[998.390625, 964.0859375, 940.5234375, 927.3046875, 870.6015625, 879.3359375, 719.3515625, 945.609375, 913.9765625, 959.9296875]"
0.9939393939393939,8.787878787878787,"[967.015625, 993.9296875, 984.40625, 972.6171875, 947.3359375, 1000.0, 988.75, 944.9609375, 566.0078125, 735.578125]"
0.8949494949494949,3.7373737373737375,"[677.0078125, 316.265625, 633.21875, 825.9921875, 800.9765625, 794.8984375, 288.9609375, 458.7421875, 403.2109375, 659.875]"
0.9353535353535354,1.4141414141414141,"[320.6875, 270.6796875, 351.875, 577.265625, 381.328125, 364.4765625, 277.8671875, 293.859375, 285.875, 363.421875]"
0.9818181818181818,6.8686868686868685,"[892.453125, 956.3515625, 949.375, 949.5859375, 777.09375, 851.7421875, 869.71875, 965.8359375, 607.6953125, 816.3828125]"
0.9030303030303031,6.96969696969697,"[968.703125, 887.2890625, 902.140625, 988.2578125, 880.96875, 938.0078125, 916.75, 950.3046875, 915.421875, 959.7265625]"
0.8282828282828283,5.555555555555555,"[994.5859375, 873.0625, 751.75, 825.9609375, 940.671875, 862.0546875, 692.3359375, 943.3125, 925.265625, 921.171875]"
0.9878787878787879,2.0202020202020203,"[257.46875, 236.2578125, 273.609375, 298.8359375, 253.6796875, 293.3515625, 236.921875, 249.953125, 247.96875, 295.828125]"
0.9252525252525252,0.0,"[275.2109375, 277.6953125, 246.8359375, 212.375, 241.9453125, 275.6953125, 230.9296875, 254.90625, 241.8984375, 230.96875]"
0.8747474747474748,8.484848484848484,"[885.9453125, 854.4609375, 937.5859375, 854.4609375, 819.4765625, 933.5625, 691.140625, 862.9609375, 905.5546875, 951.890625]"
